,author,category,description,publishedAt,source,title,url
78,Infowars.com,Featured Stories,"Media pushing Trump, Nazi narrative more than ever.","Fri, 22 Jun 2018 20:59:37 +0000",infowars,Voting For Trump Makes You A Nazi,https://www.infowars.com/voting-for-trump-makes-you-a-nazi/
79,Express,Globalism,Ship carrying 350 migrants came from Libyan waters,"Fri, 22 Jun 2018 20:21:11 +0000",infowars,Malta Refuses Migrant Ship – Italy,https://www.infowars.com/malta-refuses-migrant-ship-italy/
80,Space.com,Science & Tech,"Utilizes a net, drag sail","Fri, 22 Jun 2018 20:09:31 +0000",infowars,Satellite Harpoons Space Debris,https://www.infowars.com/satellite-harpoons-space-debris/
81,NBC News,Economy,Small businesses to flee to online giant,"Fri, 22 Jun 2018 19:49:25 +0000",infowars,New Tax Law Potential Boon for Amazon,https://www.infowars.com/new-tax-law-potential-boon-for-amazon/
82,Infowars.com,Featured Stories,'Sex And The City' actress Cynthia Nixon wants agency abolished.,"Fri, 22 Jun 2018 19:44:59 +0000",infowars,Dem NY Gov Candidate: ICE Is A ‘Terrorist Organization’,https://www.infowars.com/dem-ny-gov-candidate-ice-is-a-terrorist-organization/
83,France24,Globalism,Deal ends eight years of financial rescues for cash-strapped Athens,"Fri, 22 Jun 2018 19:30:12 +0000",infowars,“Greek Crisis Over” – Debt Relief Deal Incoming,https://www.infowars.com/greek-crisis-over-debt-relief-deal-incoming/
84,Adan Salazar,Featured Stories,"'They’re using it to symbolize a policy, and that was not the case on this picture.'","Fri, 22 Jun 2018 19:22:19 +0000",infowars,Border Patrol Agent in ‘Family Separation’ Photo Disputes Media Narrative,https://www.infowars.com/border-patrol-agent-in-family-separation-photo-disputes-media-narrative/
85,Infowars.com,Featured Stories,President shines light on Americans the media chooses to ignore.,"Fri, 22 Jun 2018 19:14:38 +0000",infowars,Watch: President Trump Gives Remarks on Immigration with Angel Families,https://www.infowars.com/live-now-president-trump-gives-remarks-on-immigration-with-angel-families/
86,Kit Daniels,Featured Stories,Record-breaking conservation of bald eagles coincides with the restoration of America,"Fri, 22 Jun 2018 19:08:02 +0000",infowars,Bald Eagles Making Comeback During Trump Era,https://www.infowars.com/bald-eagles-making-comeback-during-trump-era/
87,Reuters,Economy,OPEC reportedly disregarded Iran's call to reject Trump's request,"Fri, 22 Jun 2018 19:05:14 +0000",infowars,Trump Win: OPEC to Increase Daily Production by One Million Barrels,https://www.infowars.com/trump-win-opec-to-increase-daily-production-by-one-million-barrels/
88,Rex Jones ,Featured Stories,Talk about fake news!,"Fri, 22 Jun 2018 18:56:42 +0000",infowars,MSM Caught In Biggest Hoax Of All Time,https://www.infowars.com/msm-caught-in-biggest-hoax-of-all-time/
89,Jon Bowne,Featured Stories,"The left is silent about issues the MSM doesn't force-feed them.
","Fri, 22 Jun 2018 18:14:35 +0000",infowars,Border Hypocrisy: Where Is The Outrage For America’s Kids?,https://www.infowars.com/border-hypocrisy-where-is-the-outrage-for-americas-kids/
90,Business Insider,Health,Study finds brains with Alzheimer's had 2X level of herpes than those without,"Fri, 22 Jun 2018 18:10:24 +0000",infowars,Herpes Linked to Alzheimer’s,https://www.infowars.com/herpes-linked-to-alzheimers/
91,The Alex Jones Show,Featured Stories,Can he get America on the right track in just four years?,"Fri, 22 Jun 2018 17:57:38 +0000",infowars,EXCLUSIVE! It’s Confirmed- Trump’s Goal Is To Not Run For Re-Election In 2020,https://www.infowars.com/exclusive-its-confirmed-trumps-goal-is-to-not-run-for-re-election-in-2020/
92,Daily Mail,Health,Usury feedback vital for protecting our bodies,"Fri, 22 Jun 2018 17:51:34 +0000",infowars,Prosthetic “Feels Pain” Using Electronic Skin,https://www.infowars.com/prosthetic-feels-pain-using-electronic-skin/
93,The Alex Jones Show,Special Reports,Will the washed-up actor respond?,"Fri, 22 Jun 2018 17:44:32 +0000",infowars,Alex Jones Offers 1 Million To Cage Fight Peter Fonda,https://www.infowars.com/alex-jones-offers-1-million-to-cage-fight-peter-fonda/
94,Infowars.com,Featured Stories,"'Melania has learned how dishonest they are, and she truly no longer cares!'","Fri, 22 Jun 2018 17:36:20 +0000",infowars,Trump: Melania Wore ‘I Don’t Care’ Jacket to Mock Fake News Media,https://www.infowars.com/trump-melania-wore-i-dont-care-jacket-to-mock-fake-news-media/
95,Jake Lloyd,Featured Stories,Learn the truth about illegal immigration.,"Fri, 22 Jun 2018 17:34:39 +0000",infowars,It’s NOT Our Fault That Illegal Aliens Are Separated From Their Children,https://www.infowars.com/its-not-our-fault-that-illegal-aliens-are-separated-from-their-children/
96,Infowars.com,Featured Stories,The only difference is Trump is following through with his promises.,"Fri, 22 Jun 2018 17:15:06 +0000",infowars,Former Presidents Support Trump’s Immigration Plan,https://www.infowars.com/former-presidents-support-trumps-immigration-plan/
97,Washington Examiner,Economy,Involves rockets carrying heavy payloads for US national security,"Fri, 22 Jun 2018 17:09:02 +0000",infowars,Musk’s SpaceX Wins $130 Million Air Force Contract,https://www.infowars.com/musks-spacex-wins-130-million-air-force-contract/
98,Owen Shroyer,Hot News,He could be preparing for a major event.,"Fri, 22 Jun 2018 17:03:03 +0000",infowars,"Why Does Matt Lauer Have 16,000 Acres In New Zealand?",https://www.infowars.com/why-does-matt-lauer-have-16000-acres-in-new-zealand/
99,RT,World at War,"Europe’s efforts to save deal not enough, according to Tehran","Fri, 22 Jun 2018 16:51:19 +0000",infowars,Iran May Exit Nuclear Deal Soon – Deputy FM,https://www.infowars.com/iran-may-exit-nuclear-deal-soon-deputy-fm/
