,author,description,publishedAt,source,title,url,urlToImage
2821,Todd Starnes Show,"After the Supreme Court ruled Monday in favor of Colorado baker Jack Phillips, who refused to bake a wedding cake for a same sex couple because of his religious beliefs, Todd Starnes spoke to Michael Farris, president of the Alliance Defending Freedom, which …",2018-06-04T20:36:50Z,fox news,How Jack Phillips Reacted To The Masterpiece Cakeshop Decision,https://radio.foxnews.com/2018/06/04/how-jack-phillips-reacted-to-the-masterpiece-cakeshop-decision/,https://radio.foxnews.com/wp-content/uploads/2018/06/AP_18155588859019.jpg
2822,,"Jeremey Tedesco, attorney for Colorado baker joins 'Your World' with reaction to the Supreme Court ruling in his client's favor.",2018-06-04T20:31:02Z,fox news,"Cakeshop Lawyer: It's a great day for us, religious people",http://video.foxnews.com/v/5793476972001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793477076001_5793476972001-vs.jpg
2823,Associated Press,"Fox News US, Turkey say plan reached to resolve rift over Syria town Fox News WASHINGTON – U.S.-backed Kurdish fighters will withdraw from the key Syrian town of Manbij under a deal reached with the Trump administration, Turkish officials said Monday, potenti…",2018-06-04T20:01:09Z,fox news,"US, Turkey say plan reached to resolve rift over Syria town - Fox News",http://www.foxnews.com/us/2018/06/04/us-turkey-say-plan-reached-to-resolve-rift-over-syria-town.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/us/2018/06/04/us-turkey-say-plan-reached-to-resolve-rift-over-syria-town/_jcr_content/par/featured-media/media-0.img.png/0/0/1528142319230.png?ve=1
2824,Nicole Darrah,"Rose McGowan, an ardent activist within the #MeToo movement, slammed former President Bill Clinton's comments on Monica Lewinsky Monday, tweeting that he drastically ruined her life.",2018-06-04T20:01:00Z,fox news,Rose McGowan to Bill Clinton: Lewinsky's life 'destroyed due to your selfishness',http://www.foxnews.com/entertainment/2018/06/04/rose-mcgowan-to-bill-clinton-lewinskys-life-destroyed-due-to-your-selfishness.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/entertainment/2018/06/04/rose-mcgowan-to-bill-clinton-lewinskys-life-destroyed-due-to-your-selfishness/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1528143577614.jpg?ve=1
2825,Allie Raffa,"Fox News Post-Maria Puerto Rican migration leaves evacuees fighting for their future in Central Florida Fox News ORLANDO, Fla. – Long before Hurricane Maria ravaged part of the Caribbean, Central Florida was dealing with an affordable housing crisis. Thousand…",2018-06-04T19:57:57Z,fox news,Post-Maria Puerto Rican migration leaves evacuees fighting for their future in Central Florida - Fox News,http://www.foxnews.com/us/2018/06/04/post-maria-puerto-rican-migration-leaves-evacuees-fighting-for-their-future-in-central-florida.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/0/0/694940094001_5793453034001_5793449098001-vs.jpg?ve=1
2826,Associated Press,At least 24 public buses have been burned in less than 24 hours in the southeastern Brazilian state of Minas Gerais.,2018-06-04T19:55:10Z,fox news,24 public buses burned in Brazilian state in 24 hours,http://www.foxnews.com/world/2018/06/04/24-public-buses-burned-in-brazilian-state-in-24-hours.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2827,,A letter from President Trump's legal team to Special Counsel Robert Mueller reveals the president dictated the statement on the Trump Tower meeting; chief White House correspondent John Roberts reports.,2018-06-04T19:51:35Z,fox news,Trump lawyers contradict past denials on Trump Tower meeting,http://video.foxnews.com/v/5793457650001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793463693001_5793457650001-vs.jpg
2828,Associated Press,Russian President Vladimir Putin says Moscow hopes a summit between U.S. President Donald Trump and North Korean leader Kim Jong Un helps defuse tensions.,2018-06-04T19:51:09Z,fox news,Putin says US should reward North Korea if it suspends tests,http://www.foxnews.com/world/2018/06/04/putin-says-us-should-reward-north-korea-if-it-suspends-tests.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2829,Associated Press,"NBC 6 South Florida Baby found dead off Florida coast has detectives puzzled Fox News WEST PALM BEACH, Fla. – After a newborn baby girl's body was found floating off the Florida coast, detectives are trying to unravel the mystery of how she died and how long …",2018-06-04T19:41:07Z,fox news,Baby found dead off Florida coast has detectives puzzled - Fox News,http://www.foxnews.com/us/2018/06/04/baby-found-dead-off-florida-coast-has-detectives-puzzled.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2830,,White House press secretary Sarah Sanders says the Trump administration is looking forward to the June 12 summit with Kim Jong Un in Singapore.,2018-06-04T19:39:11Z,fox news,White House: Talks with North Korea have been positive,http://video.foxnews.com/v/5793454786001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793453084001_5793454786001-vs.jpg
