,author,description,publishedAt,source,title,url,urlToImage
2310,,Expanded bilateral meeting between President Trump and Kim Jong Un.,2018-06-12T02:04:14Z,fox news,Trump to Kim Jong Un: I look forward to working with you,http://video.foxnews.com/v/5796405998001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796407017001_5796405998001-vs.jpg
2311,,How President Trump has already garnered more diplomatic success in the region than any other administration in modern history.,2018-06-12T01:53:34Z,fox news,Hannity: Trump's peace through strength strategy works,http://video.foxnews.com/v/5796406566001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796406970001_5796406566001-vs.jpg
2312,,"On 'Hannity,' counselor to President Trump says peace and progress have already won heading into the summit with North Korea.",2018-06-12T01:25:52Z,fox news,Conway: Denuclearization of North Korea benefits the world,http://video.foxnews.com/v/5796399416001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796404544001_5796399416001-vs.jpg
2313,,The road to the Singapore summit,2018-06-12T01:24:30Z,fox news,Trump's summit with Kim Jong Un: How we got here,http://video.foxnews.com/v/5796397682001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796400150001_5796397682001-vs.jpg
2314,,President Trump makes remarks at the summit with Kim Jong Un.,2018-06-12T01:20:00Z,fox news,President Trump: We will have a terrific relationship,http://video.foxnews.com/v/5796389758001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796400100001_5796389758001-vs.jpg
2315,Alexandra Deabler,A Virginia Institute of Marine Science research expedition ended up discovering more about great white shark behavior than the researchers may have anticipated: great whites are cannibals.,2018-06-12T01:15:00Z,fox news,Cannibalistic great white shark eats relative as Virginia researchers watch,http://www.foxnews.com/science/2018/06/11/cannibalistic-great-white-eats-relative-during-virginia-institute-marine-science-research-expedition.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/11/cannibalistic-great-white-eats-relative-during-virginia-institute-marine-science-research-expedition/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1528765521692.jpg?ve=1
2316,,"Trump style horrifies G7, achieves N. Korea breakthrough",2018-06-12T01:10:52Z,fox news,How the world feels about Trump diplomacy,http://video.foxnews.com/v/5796390802001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796393911001_5796390802001-vs.jpg
2317,Associated Press,"President Donald Trump and North Korean leader Kim Jong Un have opened an unparalleled summit in Singapore, reaching for an ambitious deal to resolve global concerns about the isolated nation's nuclear weapons program.",2018-06-12T01:06:33Z,fox news,"Trump, NKorea's Kim Jong Un open historic nuclear summit",http://www.foxnews.com/world/2018/06/11/trump-nkoreas-kim-jong-un-open-historic-nuclear-summit.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2318,Samuel Chamberlain,President Trump shook hands with North Korean leader Kim Jong Un in Singapore shortly after 9 a.m. local time Tuesday.,2018-06-12T01:06:14Z,fox news,"Trump, Kim Jong Un meet face-to-face in historic summit",http://www.foxnews.com/politics/2018/06/11/trump-kim-jong-un-meet-face-to-face-in-historic-summit.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/11/0/0/694940094001_5796367600001_5796365594001-vs.jpg?ve=1
2319,,What does the Trump-Kim summit mean for U.S. relations with East Asia and what was China's role in making it happen? #Tucker,2018-06-12T01:04:57Z,fox news,China's role in the Singapore summit,http://video.foxnews.com/v/5796389739001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796393864001_5796389739001-vs.jpg
