,author,category,description,publishedAt,source,title,url
38,Michael Snyder  ,Featured Stories,"When sitting members of Congress start talking about a coming civil war, it is time to start paying attention.","Tue, 26 Jun 2018 10:27:48 +0000",infowars,Here It Comes – The Warnings About A “Civil War In America” Are Becoming Much Louder,https://www.infowars.com/here-it-comes-the-warnings-about-a-civil-war-in-america-are-becoming-much-louder/
39,Infowars.com,Featured Stories,Rep refuses to answer questions regarding comments about harassing Trump supporters.,"Tue, 26 Jun 2018 06:28:56 +0000",infowars,Watch: Maxine Waters Confronted – ‘Where are Trump supporters allowed?’,https://www.infowars.com/watch-maxine-waters-confronted-where-are-trump-supporters-allowed/
40,Infowars.com,Featured Stories,Mike Adams breaks down a potential martial law scenario.,"Tue, 26 Jun 2018 05:58:02 +0000",infowars,Breaking: Enemy Armies Now Attacking The US / Trump Strikes Back With Rex 84,https://www.infowars.com/breaking-enemy-armies-now-attacking-the-us-trump-strikes-back-with-rex-84/
41,Infowars.com,Featured Stories,Deranged leftists crazed enough to want shooting war?,"Tue, 26 Jun 2018 05:40:06 +0000",infowars,Shock Video! Leftists Call For Trump Supporters To Be Gunned Down In Restaurants,https://www.infowars.com/shock-video-leftists-call-for-trump-supporters-to-be-gunned-down-in-restaurants/
42,Infowars.com,Featured Stories,Calls for violence from deranged left reaching tipping point?,"Mon, 25 Jun 2018 23:46:24 +0000",infowars,Alex Jones’ Message To President Trump On Preventing A Violent Civil War,https://www.infowars.com/alex-jones-message-to-president-trump-on-preventing-a-violent-civil-war/
43,Infowars.com,Featured Stories,South Carolina Governor Henry McMaster one of Trump's 'original fighters.',"Mon, 25 Jun 2018 23:36:22 +0000",infowars,LIVE: President Trump South Carolina Rally,https://www.infowars.com/live-president-trump-south-carolina-rally/
44,Paul Joseph Watson,Featured Stories,"""This is all going to get more extreme. And it should,"" says columnist for Univision-owned website.","Mon, 25 Jun 2018 23:19:11 +0000",infowars,Left-Wing Writer Suggests Anti-Trump Protesters Should Carry Out Domestic Terror Attacks,https://www.infowars.com/left-wing-writer-suggests-anti-trump-protesters-should-carry-out-domestic-terror-attacks/
45,David Knight,Special Reports,Left goes after literature.,"Mon, 25 Jun 2018 23:17:48 +0000",infowars,Lib Book-Burn: ‘Little House on Prairie’,https://www.infowars.com/lib-book-burn-little-house-on-prairie/
46,Infowars.com,Featured Stories,"Previous administration's habit of lawlessness is over, Sanders says","Mon, 25 Jun 2018 22:59:44 +0000",infowars,Sarah Sanders: Trump Doesn’t Make Up Laws Like Obama Administration Did,https://www.infowars.com/sarah-sanders-trump-doesnt-make-up-laws-like-obama-administration-did/
47,David Knight,Special Reports,Mexican presidential candidate tells more people to leave Mexico for America.,"Mon, 25 Jun 2018 22:43:56 +0000",infowars,Trump Calls Illegals ‘Invaders’ – Mexico Says ‘Send More’,https://www.infowars.com/trump-calls-illegals-invaders-mexico-says-send-more/
48,Infowars.com,Featured Stories,Prepare for the invasion.,"Mon, 25 Jun 2018 22:16:53 +0000",infowars,The Rape Of Europe Coming To America,https://www.infowars.com/the-rape-of-europe-coming-to-america/
49,David Knight,Special Reports,"Women in Saudi Arabia can drive again, but vehicle access is getting limited worldwide.","Mon, 25 Jun 2018 22:05:45 +0000",infowars,Saudi Women Freed? But Cars Are Being Banned,https://www.infowars.com/saudi-women-freed-but-cars-are-being-banned/
50,Kit Daniels,Featured Stories,Waters inciting mob harassment of officials a year after GOP baseball shooting,"Mon, 25 Jun 2018 22:05:07 +0000",infowars,"Investigate Maxine Waters, Judicial Watch Tells Congress",https://www.infowars.com/investigate-maxine-waters-judicial-watch-tells-congress/
51,RT,Health,Allows lower drug dosages for patient ,"Mon, 25 Jun 2018 21:39:07 +0000",infowars,Cancer Cells Targeted to Allow Less Hazardous Chemo,https://www.infowars.com/cancer-cells-targeted-to-allow-less-hazardous-chemo/
52,Dan Lyman,Featured Stories,"Among most brutal crimes ever seen, claims official","Mon, 25 Jun 2018 21:08:46 +0000",infowars,Cops: Teen Killed by DACA-Linked Gang,https://www.infowars.com/teen-killed-by-daca-linked-gang/
53,StatNews.com,Health,Treats two rare and devastating forms of epilepsy.,"Mon, 25 Jun 2018 20:01:27 +0000",infowars,FDA Approves Country’s First Medicine Made from Marijuana,https://www.infowars.com/fda-approves-countrys-first-medicine-made-from-marijuana/
54,Infowars.com,Featured Stories,'Be careful what you wish for Max!',"Mon, 25 Jun 2018 19:40:12 +0000",infowars,President Trump Demolishes Maxine Waters: “Extraordinarily low IQ person”,https://www.infowars.com/trump-demolishes-maxine-waters-extraordinarily-low-iq-person/
55,University of Bonn ,Science & Tech,Nature of enigmatic star putty put to test,"Mon, 25 Jun 2018 19:12:07 +0000",infowars,Galactic Test to Clarify Existence of Dark Matter,https://www.infowars.com/galactic-test-to-clarify-existence-of-dark-matter/
56,Kelen McBreen,Featured Stories,Liberal hypocrisy found at establishment that refused to serve Sarah Sanders.,"Mon, 25 Jun 2018 18:45:17 +0000",infowars,Red Hen Restaurant Displays MLK Quote: Love Turns Enemies to Friends,https://www.infowars.com/red-hen-restaurant-displays-mlk-quote-love-turns-enemies-to-friends/
57,Infowars.com,Featured Stories,"Trump's disruptive nature exposing establishment incompetence, says filmmaker.","Mon, 25 Jun 2018 18:28:22 +0000",infowars,David Lynch: Trump Could Be ‘One of Greatest Presidents in History’,https://www.infowars.com/david-lynch-trump-could-be-one-of-greatest-presidents-in-history/
58,CNBC,Economy,Weighs IP bid for coming auction,"Mon, 25 Jun 2018 18:27:35 +0000",infowars,Former Toys R Us CEO Mulls Saving Chain,https://www.infowars.com/former-toys-r-us-ceo-mulls-saving-chain/
59,Ben Warren,Featured Stories,Police force not properly equipped for migrant gang wars,"Mon, 25 Jun 2018 18:13:49 +0000",infowars,Swedish Official Blasts ‘Silence Culture’ Aiding Violent Crime,https://www.infowars.com/swedish-official-blasts-silence-culture-aiding-violent-crime/
60,TownHall.com,U.S. News,51% of Americans believe that a wall along the United States southern border is a good thing.,"Mon, 25 Jun 2018 18:03:44 +0000",infowars,CBS Poll: 51% of Americans Believe a Border Wall is a Good Idea,https://www.infowars.com/cbs-poll-51-of-americans-believe-a-border-wall-is-a-good-idea/
61,Jon Bowne,Featured Stories,The elite are going for broke.,"Mon, 25 Jun 2018 17:34:45 +0000",infowars,Desperate Deep State Calls For Trump’s Removal,https://www.infowars.com/desperate-deep-state-calls-for-trumps-removal/
62,Paul Joseph Watson,Featured Stories,Polarized political environment increases threat of violence.,"Mon, 25 Jun 2018 17:34:15 +0000",infowars,Congressman: U.S. is Heading Towards a Second Civil War,https://www.infowars.com/congressman-u-s-is-heading-towards-a-second-civil-war/
63,Ron Paul ,Featured Stories,Allowing state gov'ts to force out-of-state retailers to comply with state tax laws harms small businesses...,"Mon, 25 Jun 2018 16:58:00 +0000",infowars,Ron Paul: No (Internet Sales) Taxation without Representation!,https://www.infowars.com/ron-paul-no-internet-sales-taxation-without-representation/
